UIK.RAW	UIK	VOTERS	BALL.RECEIVED	BALL.ISS.PRELIMINARY	BALL.ISS.UIK.DAYOFVOTE	BALL.ISS.EXTRA	BALL.CANCELLED	BALL.PORTABLE_BOXES	BALL.STATIONARY_BOXES	BALL.INVALID	BALL.VALID	BALL.LOST	BALL.NOT.RECORDED	TIK	BABURIN	BABURIN.pct	GRUDININ	GRUDININ.pct	ZHIRINOVSKI	ZHIRINOVSKI.pct	PUTIN	PUTIN.pct	SOBCHAK	SOBCHAK.pct	SURAIKIN	SURAIKIN.pct	TITOV	TITOV.pct	YAVLINSKI	YAVLINSKI.pct
УИК №312	312	2210	2500	0	1517	14	969	14	1516	10	1520	0	0	14	12	0.78%	178	11.63%	61	3.99%	1133	74.05%	65	4.25%	10	0.65%	23	1.50%	38	2.48%
УИК №1220	1220	1870	1800	0	1216	55	529	55	1216	10	1261	0	0	15	9	0.71%	95	7.47%	62	4.88%	1013	79.70%	52	4.09%	9	0.71%	5	0.39%	16	1.26%
УИК №1221	1221	1864	1500	0	1082	216	202	216	1082	8	1290	0	0	15	9	0.69%	65	5.01%	75	5.78%	1067	82.20%	43	3.31%	6	0.46%	12	0.92%	13	1.00%
УИК №1222	1222	1567	1500	0	964	40	496	40	964	4	1000	0	0	15	4	0.40%	56	5.58%	53	5.28%	830	82.67%	23	2.29%	9	0.90%	9	0.90%	16	1.59%
УИК №1223	1223	1717	1500	0	1084	28	388	28	1082	8	1102	0	0	15	7	0.63%	79	7.12%	64	5.77%	876	78.92%	31	2.79%	7	0.63%	12	1.08%	26	2.34%
УИК №1224	1224	783	700	0	491	14	195	14	491	8	497	0	0	15	3	0.59%	34	6.73%	25	4.95%	404	80.00%	13	2.57%	3	0.59%	5	0.99%	10	1.98%
УИК №1225	1225	1142	1000	0	728	24	248	24	728	11	741	0	0	15	2	0.27%	73	9.71%	46	6.12%	583	77.53%	14	1.86%	4	0.53%	9	1.20%	10	1.33%
УИК №1226	1226	2318	2500	0	1660	22	818	22	1659	29	1652	0	0	15	7	0.42%	162	9.64%	130	7.73%	1261	75.01%	48	2.86%	7	0.42%	19	1.13%	18	1.07%
УИК №1227	1227	1627	1500	0	1136	74	290	74	1136	9	1201	0	0	15	11	0.91%	84	6.94%	52	4.30%	999	82.56%	20	1.65%	7	0.58%	16	1.32%	12	0.99%
УИК №1228	1228	1488	1500	0	947	36	517	36	947	13	970	0	0	15	6	0.61%	66	6.71%	61	6.21%	777	79.04%	32	3.26%	8	0.81%	12	1.22%	8	0.81%
УИК №1229	1229	1800	1500	0	1163	47	290	47	1162	11	1198	0	0	15	4	0.33%	97	8.02%	61	5.05%	974	80.56%	21	1.74%	8	0.66%	9	0.74%	24	1.99%
УИК №1230	1230	1884	2000	0	1249	60	691	60	1248	14	1294	0	0	15	10	0.76%	90	6.88%	51	3.90%	1060	81.04%	40	3.06%	4	0.31%	15	1.15%	24	1.83%
УИК №1231	1231	1704	1500	0	1190	53	257	53	1190	14	1229	0	0	15	13	1.05%	79	6.36%	48	3.86%	1005	80.85%	45	3.62%	4	0.32%	18	1.45%	17	1.37%
УИК №1232	1232	1796	1600	0	1083	47	470	47	1083	9	1121	0	0	15	7	0.62%	81	7.17%	48	4.25%	925	81.86%	25	2.21%	11	0.97%	8	0.71%	16	1.42%
УИК №1233	1233	2078	1900	0	1606	28	266	28	1606	18	1616	0	0	15	12	0.73%	103	6.30%	86	5.26%	1318	80.66%	54	3.30%	13	0.80%	16	0.98%	14	0.86%
УИК №1234	1234	2215	2000	0	1397	47	556	47	1397	11	1433	0	0	15	7	0.48%	104	7.20%	75	5.19%	1164	80.61%	41	2.84%	7	0.48%	13	0.90%	22	1.52%
УИК №1235	1235	2052	2000	0	1203	27	770	27	1202	15	1214	0	0	15	14	1.14%	90	7.32%	59	4.80%	989	80.47%	26	2.12%	10	0.81%	12	0.98%	14	1.14%
УИК №1236	1236	1928	2000	0	1255	25	720	25	1254	16	1263	0	0	15	10	0.78%	120	9.38%	61	4.77%	1007	78.73%	34	2.66%	10	0.78%	9	0.70%	12	0.94%
УИК №1237	1237	1789	1500	0	1255	19	226	19	1254	16	1257	0	0	15	7	0.55%	87	6.83%	85	6.68%	1014	79.65%	31	2.44%	7	0.55%	18	1.41%	8	0.63%
УИК №1238	1238	912	1000	0	715	14	271	14	715	8	721	0	0	15	11	1.51%	74	10.15%	22	3.02%	567	77.78%	26	3.57%	2	0.27%	9	1.23%	10	1.37%
УИК №2293	2293	293	330	0	179	104	47	104	179	3	280	0	0	15	4	1.41%	9	3.18%	12	4.24%	241	85.16%	6	2.12%	0	0.00%	4	1.41%	4	1.41%
УИК №2294	2294	104	105	0	104	0	1	0	104	0	104	0	0	15	0	0.00%	0	0.00%	1	0.96%	103	99.04%	0	0.00%	0	0.00%	0	0.00%	0	0.00%
УИК №2295	2295	322	326	0	322	0	4	0	322	0	322	0	0	15	0	0.00%	4	1.24%	6	1.86%	306	95.03%	2	0.62%	1	0.31%	2	0.62%	1	0.31%
УИК №2180	2180	1784	1500	0	1028	17	455	17	1027	19	1025	0	0	16	7	0.67%	118	11.30%	41	3.93%	718	68.77%	72	6.90%	5	0.48%	24	2.30%	40	3.83%
